ROI,X_position,Y_position,gene,gene_value,type,full_gene_name
D5761.(3).|.064.|.Full.ROI,4148,18512,Ivd,-0.653351954592306,Cortical layer II/III,Ivd
D5761.(3).|.064.|.Full.ROI,4148,18512,Lypd5,1.87875439994626,Cortical layer II/III,Lypd5
D5761.(3).|.064.|.Full.ROI,4148,18512,Cgnl1,-0.259302098115736,Cortical layer II/III,Cgnl1
D5761.(3).|.064.|.Full.ROI,4148,18512,Gng7,-0.0440772952720057,Cortical layer II/III,Gng7
D5761.(3).|.064.|.Full.ROI,4148,18512,Lrsam1,-1.12682312582527,Cortical layer II/III,Lrsam1
D5761.(3).|.064.|.Full.ROI,4148,18512,Etv1,-0.61829923164101,Cortical layer II/III,Etv1
D5761.(3).|.064.|.Full.ROI,4148,18512,Fezf2,-0.886246062258249,Cortical layer II/III,Fezf2
D5761.(3).|.044.|.Full.ROI,6083,21055,Cryab,-0.854565306659926,Cortical layer II/III,Cryab
D5761.(3).|.044.|.Full.ROI,6083,21055,Pde4a,-1.08830322492957,Cortical layer II/III,Pde4a
D5761.(3).|.044.|.Full.ROI,6083,21055,Cyb5a,-0.700528298225359,Cortical layer II/III,Cyb5a
D5761.(3).|.044.|.Full.ROI,6083,21055,Mllt11,-0.30494190395917,Cortical layer II/III,Mllt11
D5761.(3).|.044.|.Full.ROI,6083,21055,Dkk3,-0.729092736275398,Cortical layer II/III,Dkk3
D5761.(3).|.044.|.Full.ROI,6083,21055,Ighm,-0.541223712587786,Cortical layer II/III,Ighm
D5761.(3).|.044.|.Full.ROI,6083,21055,Dnajc16,0.18256857285511,Cortical layer II/III,Dnajc16
D5761.(3).|.044.|.Full.ROI,6083,21055,Tppp,-0.0656934241073643,Cortical layer II/III,Tppp
D5761.(3).|.044.|.Full.ROI,6083,21055,Gopc,-0.602019893384035,Cortical layer II/III,Gopc
D5761.(3).|.044.|.Full.ROI,6083,21055,Cltc,-0.148470648402719,Cortical layer II/III,Cltc
D5761.(3).|.044.|.Full.ROI,6083,21055,Pfn2,-0.190795279952909,Cortical layer II/III,Pfn2
D5761.(3).|.044.|.Full.ROI,6083,21055,Ap3s1,0.509037592323485,Cortical layer II/III,Ap3s1
D5761.(3).|.044.|.Full.ROI,6083,21055,Pcmt1,0.786983794480874,Cortical layer II/III,Pcmt1
D5761.(3).|.044.|.Full.ROI,6083,21055,Rab12,0.511840634443351,Cortical layer II/III,Rab12
D5761.(3).|.044.|.Full.ROI,6083,21055,Gucy1b1,1.49117398523561,Cortical layer II/III,Gucy1b1
D5761.(3).|.044.|.Full.ROI,6083,21055,Exd2,1.28733415469304,Cortical layer II/III,Exd2
D5761.(3).|.044.|.Full.ROI,6083,21055,Slc12a5,1.23769912671692,Cortical layer II/III,Slc12a5
D5761.(3).|.044.|.Full.ROI,6083,21055,Calm1,1.10241472189033,Cortical layer II/III,Calm1
D5761.(3).|.044.|.Full.ROI,6083,21055,Gpr158,0.49014624380533,Cortical layer II/III,Gpr158
D5761.(3).|.044.|.Full.ROI,6083,21055,Kcnip2,0.0904629685917044,Cortical layer II/III,Kcnip2
D5761.(3).|.044.|.Full.ROI,6083,21055,Tacc1,1.05166543648991,Cortical layer II/III,Tacc1
D5761.(3).|.044.|.Full.ROI,6083,21055,Them6,1.03850175913944,Cortical layer II/III,Them6
D5761.(3).|.044.|.Full.ROI,6083,21055,Rtn4,0.495658961622192,Cortical layer II/III,Rtn4
D5761.(3).|.044.|.Full.ROI,6083,21055,Arhgef25,0.313365714588898,Cortical layer II/III,Arhgef25
D5761.(3).|.044.|.Full.ROI,6083,21055,Stxbp5l,-0.606565765437504,Cortical layer II/III,Stxbp5l
D5761.(3).|.044.|.Full.ROI,6083,21055,Tbr1,-0.459975866436953,Cortical layer II/III,Tbr1
D5761.(3).|.044.|.Full.ROI,6083,21055,Ppp1r1b,1.06836412871288,Cortical layer II/III,Ppp1r1b
D5761.(3).|.044.|.Full.ROI,6083,21055,Nptx1,0.026827314508808,Cortical layer II/III,Nptx1
D5761.(3).|.044.|.Full.ROI,6083,21055,Tsnax,1.54944240790933,Cortical layer II/III,Tsnax
D5761.(3).|.044.|.Full.ROI,6083,21055,Dock4,1.62586040818449,Cortical layer II/III,Dock4
D5761.(3).|.044.|.Full.ROI,6083,21055,Sipa1l1,1.55489783903814,Cortical layer II/III,Sipa1l1
D5761.(3).|.044.|.Full.ROI,6083,21055,Kcnh4,1.47466295144526,Cortical layer II/III,Kcnh4
D5761.(3).|.044.|.Full.ROI,6083,21055,Kcnh5,0.166772687111582,Cortical layer II/III,Kcnh5
D5761.(3).|.044.|.Full.ROI,6083,21055,Myo16,0.283198281937309,Cortical layer II/III,Myo16
D5761.(3).|.044.|.Full.ROI,6083,21055,Cux1,0.705656632142015,Cortical layer II/III,Cux1
D5761.(3).|.044.|.Full.ROI,6083,21055,Cux2,1.49414755714713,Cortical layer II/III,Cux2
D5761.(3).|.044.|.Full.ROI,6083,21055,Ptn,0.537049186171408,Cortical layer II/III,Ptn
D5761.(3).|.044.|.Full.ROI,6083,21055,Plxnd1,0.814893135987702,Cortical layer II/III,Plxnd1
D5761.(3).|.044.|.Full.ROI,6083,21055,Nectin1,0.991979383862351,Cortical layer II/III,Nectin1
D5761.(3).|.044.|.Full.ROI,6083,21055,Rilpl1,1.27396359972686,Cortical layer II/III,Rilpl1
D5761.(3).|.044.|.Full.ROI,6083,21055,Npbwr1,-0.424110177516549,Cortical layer II/III,Npbwr1
D5761.(3).|.044.|.Full.ROI,6083,21055,Tmem200a,0.84520200418873,Cortical layer II/III,Tmem200a
D5761.(3).|.044.|.Full.ROI,6083,21055,Ndrg2,-0.621920250083491,Cortical layer II/III,Ndrg2
D5761.(3).|.044.|.Full.ROI,6083,21055,Ivd,-0.699948636449304,Cortical layer II/III,Ivd
D5761.(3).|.044.|.Full.ROI,6083,21055,Lypd5,-0.48047547565096,Cortical layer II/III,Lypd5
D5761.(3).|.044.|.Full.ROI,6083,21055,Cgnl1,-0.197747147939394,Cortical layer II/III,Cgnl1
